210,30534951341,COOP. AGROPEC. DE LA VIOLETA LTDA,4,4,4,Norte de Buenos Aires;PBBRX
214,30531155242,COOP. AGROP. DE VENADO TUERTO LTDA,2,3,3,Centro y Sur de Santa Fe;1KLUK
217,33504047089,LA AGRICOLA REGIONAL COOP. LTDA,4,5,2,Entre Ríos;ND4A3
"222,30527703685,""COOP. AGRIC. """"UNION REGIONAL"""" LTDA"",1,2,2,Entre Ríos";6YOL2
223,30528829739,COOP. AGRIC. Y GAN. LA TRINIDAD LTDA.,1,5,1,Norte de Santa Fé;K8E7C
"229,30532953835,COOP. AGROP G.S. MARTIN C.SUAREZ LT,1,1,6,""SO Bs. Aires, La Pampa y Río Negro""";ZXYJI
"230,30530871319,""COOP. AGRIC. GAN. IND.""""S.TORO"""" LT."",4,5,6,""SO Bs. Aires, La Pampa y Río Negro""";XSC0Q
232,30508728510,COOP. GAN. AGRIC. CONS. PORTEÑA LTDA,4,3,1,Norte de Santa Fé;SPDVE
235,33533328119,COOP. LA GAN GRAL RAMIREZ AG CYP,5,6,2,Entre Ríos;CG6IL
236,30508720110,COOP. AGRIC. GAN. TAMB. LDA. DE MONJE,1,3,3,Centro y Sur de Santa Fe;CEO0P
242,30513381944,COOP. AGROPECUARIA EL PROGRESO LTDA,3,3,2,Entre Ríos;SPEHF
245,30537699678,COOP. AGRIC. GANAD.DE DUDIGNAC LTD,1,5,4,Norte de Buenos Aires;I2TSP
259,30508982190,COOP. AGRIC. GAN. CONS. FREYRE LTDA,2,3,1,Norte de Santa Fé;HAESJ
"260,30589844137,COOP. GAN. RIO NEGRO LA PAMPA LDA,6,5,6,""SO Bs. Aires, La Pampa y Río Negro""";UA34J
262,30528844746,COOP. AGRICOLA MIXTA DE M.CARLO L,3,1,2,Entre Ríos;KOITK
264,30536121001,COOP. AGROP. UNION Y PROGRESO LTDA.,1,4,5,Córdoba;5JX16
281,30531122115,COOP. AGRIC. GANAD. DE MONTE BUEY,1,2,5,Córdoba;7H11J
"289,33551779829,COOP. COMERC. Y TRANSF.LTDA.,3,3,6,""SO Bs. Aires, La Pampa y Río Negro""";S104K
300,30618805065,COOP. LTDA. DE TAM. LA HUMBERTINA,3,5,1,Norte de Santa Fé;YDGUX
301,30531164667,COOP. AG. GANAD. DE VIDELA LTDA.,3,2,1,Norte de Santa Fé;ZRRI3
"303,30517867264,COOP. AGROP. DE DARREGUEIRA LTDA.,1,3,6,""SO Bs. Aires, La Pampa y Río Negro""";BO235
304,30501821507,COOP. AGRIC. GAN. LTDA. GDOR CRESPO,3,6,1,Norte de Santa Fé;6TKFS
305,30532166477,COOP. AGROP. E INDUST. DE RAUCH LTDA.,1,1,7,Sudeste Buenos Aires;EPEWC
306,33509162439,COOP. AGROP. DE GRANJEROS UNIDOS DE,3,5,4,Norte de Buenos Aires;4L782
321,30526145417,COOP. AGRIC. LUCIENVILLE LTDA.,4,6,2,Entre Ríos;O6GR4
322,30517683554,COOP. AGROP. COLONIAS UNIDAS LTDA,4,4,1,Norte de Santa Fé;BA00M
350,30534262465,COOP. GANAD. EL PRONUNCIAMIENTO LIMIT,6,2,2,Entre Ríos;CNWEP
"408,30507913411,""COOP. AGROP. """"EL PROGRESO"""" LTDA."",2,4,4,Norte de Buenos Aires";21ALS
410,30554836166,COOP. SERV. PUB. GRAL. JOSE S. MARTIN,2,2,2,Entre Ríos;UVYIO
412,30534951414,COOP. AGRIC GANAD Y DE CONS GRAL SAN,4,6,3,Centro y Sur de Santa Fe;DY9PS
425,30619635554,TAMBEROS UNIDOS COOP. LTDA.,4,5,1,Norte de Santa Fé;Z7VZV
429,30534917674,COOP. AGROPEC. GRAL BELGRANO LTD,4,5,5,Córdoba;YQ50U
430,30511539990,COOP. AGRIC. GAN.LTDA DE ELENA,4,4,5,Córdoba;3YZ26
431,30538998687,COOP. AGROP. ALBA DE GIGENA LTDA,5,6,5,Córdoba;KTB3V
433,30532846486,COOP. AGRIC. GAN. SANCTI SPIRITU LTDA,3,4,3,Centro y Sur de Santa Fe;QWPB6
435,30531943909,COOP. AGRIC. GAN. DE BERABEVU LT,5,2,3,Centro y Sur de Santa Fe;P8E8S
436,30533319315,COOP. AGRIC. DE MONTE MAIZ LTDA.,5,5,5,Córdoba;MWXAA
437,30532568567,COOP. AGRIC. GAN. LOS MOLINOS LTDA,4,4,3,Centro y Sur de Santa Fe;S9JAN
438,30532930045,AGRIC. GANAD. LTDA DE BERROTARAN,1,5,5,Córdoba;W4ZQR
439,30532044282,COOP. AGRIC. GAN.DE EL TREBOL LTDA,6,4,3,Centro y Sur de Santa Fe;XKB1W
441,30508273181,COOP. AG. GAN. LTDA.G.LEHMANN,3,4,3,Centro y Sur de Santa Fe;W9WV8
"443,30533615909,COOP. AGROP.EMBAJADOR MARTINI,1,6,6,""SO Bs. Aires, La Pampa y Río Negro""";R43ZV
444,30533413524,COOP. AGROP. DE MURPHY LTDA.,5,4,3,Centro y Sur de Santa Fe;Y6HCX
451,30532811135,COOP. AGR. GANAD.DE SALADILLO LTDA,6,4,7,Sudeste Buenos Aires;T3QU3
456,30533294606,COOP. AGROPECUARIA DE BIGAND LTDA,1,5,3,Centro y Sur de Santa Fe;92S9X
461,30511458028,COOP. AGROP. DE BOLIVAR LTDA.,4,6,7,Sudeste Buenos Aires;BBGFQ
463,30529377270,COOP. AGRIC. GAN. DE ARROYO CABRAL,5,3,5,Córdoba;9QSOE
471,30533721121,COOP. AGROP. DE PUJATO LTDA.,5,6,3,Centro y Sur de Santa Fe;LI6J3
476,30536192626,COOP. AGROP. LA FEDERACION LTDA,4,6,5,Córdoba;QJRLM
478,30511521498,COOP. AGRIC. GAN. DE JUSTINIANO POS,3,6,5,Córdoba;ZO8UI
479,30532481100,COOP. AGRIC.GANAD.BOUQUET LTDA,2,5,3,Centro y Sur de Santa Fe;BHFN3
480,30536575673,COOP. AGROP. DE PROD. YCONS. SANTA LUCI,5,4,1,Norte de Santa Fé;KMNRA
481,30530977435,COOP. FEDERAL AGRIC. GANAD. M. SUSA,1,6,3,Centro y Sur de Santa Fe;043XV
482,30529491448,COOP. AGROP. FED. DE ALVAREZ Y PIÑ,2,3,3,Centro y Sur de Santa Fe;EWKLA
486,30533324777,AGRIC.GANAD.LOS CONDORES LTDA,2,6,5,Córdoba;8BIQ2
487,30533950694,COOP. AGROP C CASADO DE CASILDA LIMI,3,2,3,Centro y Sur de Santa Fe;P3B38
488,30533171970,COOP. AGRIC.GAN.LTDA.CDA.DEL UCLE,1,3,3,Centro y Sur de Santa Fe;WM95O
489,30533588421,COOP. AGRIC.GANAD.CARRERAS LTDA,2,6,3,Centro y Sur de Santa Fe;3OTXH
490,33503870989,COOP. AGROP.CORONEL BOGADO,3,1,3,Centro y Sur de Santa Fe;7ZL49
491,30534251994,COOP. AGRIC. GAN. FED. DE V. CAÑAS,1,2,3,Centro y Sur de Santa Fe;U8EE2
492,30501221925,AGRIC.TAMBERA DE JAMES CRAIK LTDA.,6,3,5,Córdoba;W4YZ0
495,30511904206,COOP. AGRIC.GAND.DE RAUCH LTDA.,2,2,7,Sudeste Buenos Aires;IKHMK
496,30511479521,AGRIC. GAN. DE TANDIL Y VELA LTDA.,6,5,7,Sudeste Buenos Aires;YXU83
498,30503019791,COOP. AGR.GANAD.LA UNION LTDA.BAR,4,6,3,Centro y Sur de Santa Fe;C3US8
499,30532379187,COOP. TAMBERA Y AGRIC. I. ARG. CENTE,2,3,3,Centro y Sur de Santa Fe;5K7TS
"500,30533573823,COOP. AGR. GA. ESTEBAN PIACENZA DE ALT,4,2,6,""SO Bs. Aires, La Pampa y Río Negro""";XCTUE
501,30501383518,ASOCIACION UNION TAMBEROS COOP. LTD,3,4,1,Norte de Santa Fé;W4Z3X
505,30533422256,COOP. AGRICOLA GANADERA LEONES LTDA,4,2,5,Córdoba;55Y2I
506,30534395678,COOP. AGRIC. GAN. LEON SOLA LTDA.,1,5,2,Entre Ríos;QU92T
507,30532458834,COOP. AGROPECUARIA DE LA PAZ LTDA,4,6,2,Entre Ríos;IUVPD
508,33532281259,COOP. FED. AG. GAN. DE URDINARRAIN LT,5,2,2,Entre Ríos;VA66T
509,30526400301,COOP. AGRIC. MIXTA LA PROTECTORA LT,1,4,2,Entre Ríos;0SCJ5
510,30533860164,COOP. AGROPECUARIA DE BOMBAL LTDA.,5,5,3,Centro y Sur de Santa Fe;C7QLE
516,30508118690,COOP. AGRIC GANAD. B. DE IRIGOYEN LT,5,5,3,Centro y Sur de Santa Fe;82J2W
