"Numero de coop","CUIT","Población","Nombre completo","Cod_Nombre","Nombre_corto","D.E.","D.E. Nombre","CAR","CAR Nombre","Ctro Contacto","Votos Consec","Votos Asoc","Total votos","Mail principal","Mail copia","Invitacion","CodVerificador"
"488","30533171970","CAÑADA DEL UCLE","Cooperativa Ganadera de Cañada de Ucle","488 - Cooperativa Ganadera de Cañada de Ucle","COOP. AGRIC.GAN.LTDA.CDA.DEL UCLE","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","agricmarcelo@coopucle.com.ar","agriceliano@coopucle.com.ar","Verdadero","WM95O"
"37","30530711184","CARCARAÑA","Cooperativa Agrícola Agricultores Unidos Ltda.","37 - Cooperativa Agrícola Agricultores Unidos Ltda.","COOP. AGRIC. AGR. UNIDOS LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","rhernandez@agricultores-unidos.com.ar",,"Verdadero","3OZYT"
"489","30533588421","CARRERAS","Cooperativa Agrícola Ganadera Carreras Ltda.","489 - Cooperativa Agrícola Ganadera Carreras Ltda.","COOP. AGRIC.GANAD.CARRERAS LTDA","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","aboggio@coopcarreras.com.ar",,"Verdadero","3OTXH"
"487","30533950694","CASILDA","Cooperativa Agropecuaria de Carlos Casado Ltda.","487 - Cooperativa Agropecuaria de Carlos Casado Ltda.","COOP. AGROP C CASADO DE CASILDA LIMI","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","german.sandilo@coopcasado.com.ar","federico.seghezzo@coopcasado.com.ar","Verdadero","P3B38"
"499","30532379187","CENTENO","Cooperativa de Tamberos y Agrícola Ganadera La Industrial Argentina","499 - Cooperativa de Tamberos y Agrícola Ganadera La Industrial Argentina","COOP. TAMBERA Y AGRIC. I. ARG. CENTE","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","martin.derico@coopcenteno.com.ar","emilia.nasuti@coopcenteno.com.ar; guille.francescangeli@coopcenteno.com.ar","Verdadero","5K7TS"
"439","30532044282","EL TREBOL","Cooperativa Agrícola Ganadera de El Trebol Ltda.","439 - Cooperativa Agrícola Ganadera de El Trebol Ltda.","COOP. AGRIC. GAN.DE EL TREBOL LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","daresse@eltrebolnet.com.ar","epaletta@eltrebolnet.com.ar","Verdadero","XKB1W"
"71","30531205991","ELORTONDO","Cooperativa Agropecuaria Unificada Ltda. de Elortondo","71 - Cooperativa Agropecuaria Unificada Ltda. de Elortondo","COOP. AGROP. UNIFIC. LTDA. DE ELORTONDO","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gerencia@coopagroelortondo.com.ar","andrea.yocco@coopagroelortondo.com.ar; gino.meregoni@coopagroelortondo.com.ar; administracion@coopagroelortondo.com.ar","Verdadero","Y8CCE"
"11","33543617119","IRIGOYEN","Cooperativa Agropecuaria Mixta Irigoyen Ltda.","11 - Cooperativa Agropecuaria Mixta Irigoyen Ltda.","COOP. AGROP MIXTA IRIGOYEN LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gsanchez@coopcamil.com.ar","rpriotto@coopcamil.com.ar","Verdadero","9ENKB"
"437","30532568567","LOS MOLINOS","Cooperativa Agrícola Ganadera Los Molinos Ltda.","437 - Cooperativa Agrícola Ganadera Los Molinos Ltda.","COOP. AGRIC. GAN. LOS MOLINOS LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","arturo.lombardich@pastasmulini.com.ar","uriel.cisneros@pastasmulini.com.ar","Verdadero","S9JAN"
"481","30530977435","MARIA SUSANA","Cooperativa Federal Agrícola Ganadera de María Susana Ltda.","481 - Cooperativa Federal Agrícola Ganadera de María Susana Ltda.","COOP. FEDERAL AGRIC. GANAD. M. SUSA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","daniel_dovetta@hotmail.com","nchiaramoni@coopmariasusana.com.ar; npagano@coopmariasusana.com.ar; laureanopalmieri@yahoo.com.ar","Verdadero","043XV"
"155","30530750597","MAXIMO PAZ","Cooperativa Agropecuaria Ltda. de Máximo Paz","155 - Cooperativa Agropecuaria Ltda. de Máximo Paz","COOP. AGROP. LTDA. DE MAXIMO PAZ","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gluduena@coopaz.com.ar","nmartinolich@coopaz.com.ar","Verdadero","N82L7"
"236","30508720110","MONJE","Cooperativa Agrícola Ganadera Tambera Ltda. de Monje","236 - Cooperativa Agrícola Ganadera Tambera Ltda. de Monje","COOP. AGRIC. GAN. TAMB. LDA. DE MONJE","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","fdiez@coopmonje.com.ar","mgil@coopmonje.com.ar","Verdadero","CEO0P"
"412","30534951414","MURPHY","Cooperativa Agropecuaria Ganadera y de Consumo General San Martin Limitada","412 - Cooperativa Agropecuaria Ganadera y de Consumo General San Martin Limitada","COOP. AGRIC GANAD Y DE CONS GRAL SAN","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","coopasam@enredes.com.ar",,"Verdadero","DY9PS"
"444","30533413524","MURPHY","Cooperativa Agropecuaria de Murphy Ltda.","444 - Cooperativa Agropecuaria de Murphy Ltda.","COOP. AGROP. DE MURPHY LTDA.","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","gerencia@agromur.com.ar","fsosa@agromur.com.ar","Verdadero","Y6HCX"
"441","30508273181","PILAR","Cooperativa Agrícola Ganadera Ltda. Guillermo Lehmann","441 - Cooperativa Agrícola Ganadera Ltda. Guillermo Lehmann","COOP. AG. GAN. LTDA.G.LEHMANN","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gturri@cooperativalehmann.coop","gyori@cooperativalehmann.coop; nvaldez@cooperativalehmann.coop; ","Verdadero","W9WV8"
"471","30533721121","PUJATO","Cooperativa Agropecuaria Pujato Ltda.","471 - Cooperativa Agropecuaria Pujato Ltda.","COOP. AGROP. DE PUJATO LTDA.","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","gerencia@coopuagro.com.ar",,"Verdadero","LI6J3"
"433","30532846486","SANCTI SPIRITU","Cooperativa Agrícola Ganadera de Sancti Spiritu Ltda.","433 - Cooperativa Agrícola Ganadera de Sancti Spiritu Ltda.","COOP. AGRIC. GAN. SANCTI SPIRITU LTDA","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","admcooperativass@hotmail.com","coopagri@coopsancti.com.ar; coopagri2010@hotmail.com","Verdadero","QWPB6"
"193","30507964768","SANTA ISABEL","Cooperativa Agraria Union y Fuerza de Santa Isabel y Teodelina Ltda.","193 - Cooperativa Agraria Union y Fuerza de Santa Isabel y Teodelina Ltda.","COOP. AGR. U Y FZA. S. ISABEL Y TEOD","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gerenciasi@coopuyf.com.ar",,"Verdadero","M92T3"
"214","30531155242","VENADO TUERTO","Cooperativa Agropecuaria de Venado Tuerto Ltda.","214 - Cooperativa Agropecuaria de Venado Tuerto Ltda.","COOP. AGROP. DE VENADO TUERTO LTDA","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","coopavt@powervt.com.ar",,"Verdadero","1KLUK"
"491","30534251994","VILLA CAÑAS","Cooperativa Agrícola Ganadera Federada de Villa Cañás Ltda.","491 - Cooperativa Agrícola Ganadera Federada de Villa Cañás Ltda.","COOP. AGRIC. GAN. FED. DE V. CAÑAS","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","ecasari@cooperativafederada.com.ar","nmilanesi@cooperativafederada.com.ar","Verdadero","U8EE2"
"431","30538998687","ALCIRA GIGENA","Cooperativa Agropecuaria Alba de Gigena Ltda.","431 - Cooperativa Agropecuaria Alba de Gigena Ltda.","COOP. AGROP. ALBA DE GIGENA LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","cenci@coopalba.com.ar",,"Verdadero","KTB3V"
"5","30533553555","ALMAFUERTE","Sociedad Cooperativa Agropecuaria de Almafuerte Ltda.","5 - Sociedad Cooperativa Agropecuaria de Almafuerte Ltda.","SOC.COOP. AGROP. DE ALMAFUERTE LDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","jparada@coopagroalmafuerte.com.ar","mnadalez@coopagroalmafuerte.com.ar; administracion@coopagroalmafuerte.com.ar","Verdadero","2UD1C"
"463","30529377270","ARROYO CABRAL","Cooperativa Agricola Ganadera de Arroyo Cabral Ltda.","463 - Cooperativa Agricola Ganadera de Arroyo Cabral Ltda.","COOP. AGRIC. GAN. DE ARROYO CABRAL","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","mclara@cooparroyocabral.com.ar","abeltramino@cooparroyocabral.com.ar; fcativelli@cooparroyocabral.com.ar; mpautasso@cooparroyocabral.com.ar","Verdadero","9QSOE"
"438","30532930045","BERROTARAN","Cooperativa Agrícola Ganadera de Berrotarán","438 - Cooperativa Agrícola Ganadera de Berrotarán","AGRIC. GANAD. LTDA DE BERROTARAN","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","sergioorionte@coopabe.com.ar;","marianab@coopabe.com.ar;  elibosso@hotmail.com","Verdadero","W4ZQR"
"430","30511539990","ELENA","Cooperativa Agrícola Ganadera Ltda. de Elena","430 - Cooperativa Agrícola Ganadera Ltda. de Elena","COOP. AGRIC. GAN.LTDA DE ELENA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","gerencia@cagle.com.ar",,"Verdadero","3YZ26"
"82","30527151453","GENERAL CABRERA","COTAGRO Cooperativa Agropecuaria Ltda.","82 - COTAGRO Cooperativa Agropecuaria Ltda.","COTAGRO COOP. AGROP. LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","rbossio@cotagro.com.ar","secretariagerencia@cotagro.com.ar","Verdadero","JSLMS"
"97","33522332459","HERNANDO","Cooperativa Agrícola La Vencedora Ltda.","97 - Cooperativa Agrícola La Vencedora Ltda.","COOP. AGRIC.""LA VENCEDORA"" LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","aferreyra@lavencedora.com.ar",,"Verdadero","RN5XR"
"492","30501221925","JAMES CRAIK","Cooperativa Agrícola Tambera de James Craik Ltda.","492 - Cooperativa Agrícola Tambera de James Craik Ltda.","AGRIC.TAMBERA DE JAMES CRAIK LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","elcraikense@craikense.com.ar",,"Verdadero","W4YZ0"
"108","30511534492","JUSTINIANO POSSE","Cooperativa Agropecuaria Unión de Justiniano Posse","108 - Cooperativa Agropecuaria Unión de Justiniano Posse","COOP. AGROP. UNION DE J.POSSE L.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","lsupertino@coopunion.com.ar","union@coopunion.com.ar; jmateuci@coopunion.com.ar","Verdadero","X46X0"
"478","30511521498","JUSTINIANO POSSE","Cooperativa Agrícola Ganadera de Justiniano Posse Ltda.","478 - Cooperativa Agrícola Ganadera de Justiniano Posse Ltda.","COOP. AGRIC. GAN. DE JUSTINIANO POS","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","cceva@coopagricolaposse.com.ar","pmassei@coopagricolaposse.com.ar","Verdadero","ZO8UI"
"264","30536121001","LA RAMADA DE ABAJO","Cooperativa Agropecuaria Unión y Progreso Ltda.","264 - Cooperativa Agropecuaria Unión y Progreso Ltda.","COOP. AGROP. UNION Y PROGRESO LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","victorayala1977@hotmail.com",,"Verdadero","5JX16"
"122","30526655709","LEONES","Unión Agrícola de Leones Sociedad Cooperativa Ltda.","122 - Unión Agrícola de Leones Sociedad Cooperativa Ltda.","UNION AGRIC. DE LEONES S.C.LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","gerencia@ualcoop.com.ar","danielr-ual@hotmail.com; ualleones@ualcoop.com.ar","Verdadero","9OLP2"
"505","30533422256","LEONES","Cooperativa Agrícola Ganadera Leones Ltda.","505 - Cooperativa Agrícola Ganadera Leones Ltda.","COOP. AGRICOLA GANADERA LEONES LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","coopagrileo@coyspu.com.ar; nripanti@gmail.com","coopagrileo@nodosud.com.ar","Verdadero","55Y2I"
"486","30533324777","LOS CONDORES","Cooperativa Agrícola Ganadera Los Cóndores Ltda.","486 - Cooperativa Agrícola Ganadera Los Cóndores Ltda.","AGRIC.GANAD.LOS CONDORES LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","gerencia@coopagrolc.com.ar",,"Verdadero","8BIQ2"
"133","30532734912","MARCOS JUAREZ","Cooperativa Agropecuaria General Paz de Marcos Juárez","133 - Cooperativa Agropecuaria General Paz de Marcos Juárez","COOP. AGROP.GRAL.PAZ DE M.JUAREZ LT","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","fcalderon@coopgpaz.coop","smatar@coopgpaz.coop; gcocchi@coopgpaz.coop","Verdadero","VKO39"
"281","30531122115","MONTE BUEY","Cooperativa Agrícola Ganadera de Monte Buey Ltda","281 - Cooperativa Agrícola Ganadera de Monte Buey Ltda","COOP. AGRIC. GANAD. DE MONTE BUEY","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","gerencia@coopmb.com.ar","finanzas@coopmb.com.ar","Verdadero","7H11J"
"436","30533319315","MONTE MAIZ","Cooperativa Agricola de Monte Maíz Ltda","436 - Cooperativa Agricola de Monte Maíz Ltda","COOP. AGRIC. DE MONTE MAIZ LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","gerencia@coopmontemaiz.com.ar","coopmmaiz2@futurnetmm.com.ar; erikaschneiter@coopmontemaiz.com.ar; camila@coopmontemaiz.com.ar","Verdadero","MWXAA"
"429","30534917674","NOETINGER","Cooperativa Agropecuaria General Belgrano Ltda.","429 - Cooperativa Agropecuaria General Belgrano Ltda.","COOP. AGROPEC. GRAL BELGRANO LTD","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","gotascon@gmail.com",,"Verdadero","YQ50U"
"476","30536192626","OLIVA","Cooperativa Agropecuaria La Federación Ltda.","476 - Cooperativa Agropecuaria La Federación Ltda.","COOP. AGROP. LA FEDERACION LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","gerencia@cooplafederacion.com.ar","admin@cooplafederacion.com.ar;","Verdadero","QJRLM"
"164","30533440300","POZO DEL MOLLE","Cooperativa Agropecuaria de Pozo del Molle Ltda.","164 - Cooperativa Agropecuaria de Pozo del Molle Ltda.","COOP. AGROP. ""POZO DEL MOLLE"" LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","1","1","rpicco@coopmolle.com.ar; coopagro@coopmolle.com.ar; capm@coopmolle.com.ar","mgibaut@acacoop.com.ar","Verdadero","HVFSQ"
"7","33526383309","SILVIO PELLICO","Sociedad Cooperativa Unión Popular Ltda.","7 - Sociedad Cooperativa Unión Popular Ltda.","SOC.COOP. ""UNION POPULAR"" LTDA.","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","rborgogno@scup.com.ar","pcasale@scup.com.ar; coopagro_spellico@lasegunda.com.ar","Verdadero","VL716"
"200","33511642219","TANCACHA","Agricultores Unidos de Tancacha Cooperativa Agrícola Ltda.","200 - Agricultores Unidos de Tancacha Cooperativa Agrícola Ltda.","AGRIC. UNIDOS DE TANCACHA C.LTDA","5","Córdoba","5","Córdoba","SUC. CORDOBA","0","2","2","ogamarra@agricultoresunidos.com.ar","lmontegrosso@agricultoresunidos.com.ar; scagnotti@agricultoresunidos.com.ar; bblanco@agricultoresunidos.com.ar","Verdadero","K0NLE"
"321","30526145417","BASAVILBASO","Cooperativa Agrícola Lucienville Ltda.","321 - Cooperativa Agrícola Lucienville Ltda.","COOP. AGRIC. LUCIENVILLE LTDA.","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","1","1","fdezan@lucienville.com.ar","fmargulis@lucienville.com.ar","Verdadero","O6GR4"
"350","30534262465","BASAVILBASO","Cooperativa Ganadera El Pronunciamiento Ltda.","350 - Cooperativa Ganadera El Pronunciamiento Ltda.","COOP. GANAD. EL PRONUNCIAMIENTO LIMIT","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","gerencia@elpronunciamiento.com.ar","florencia@elpronunciamiento.com.ar; info@elpronunciamiento.com.ar","Verdadero","CNWEP"
"217","33504047089","CRESPO","La Agrícola Regional Cooperativa Ltda. Agrop., de Consumo y de Serv. Públ.","217 - La Agrícola Regional Cooperativa Ltda. Agrop., de Consumo y de Serv. Públ.","LA AGRICOLA REGIONAL COOP. LTDA","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","dmaier@lar.coop","jerhardt@lar.coop","Verdadero","ND4A3"
"509","30526400301","GENERAL GALARZA","Cooperativa Agrícola Mixta La Protectora Ltda.","509 - Cooperativa Agrícola Mixta La Protectora Ltda.","COOP. AGRIC. MIXTA LA PROTECTORA LT","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","gerencia@cooplaprotectora.com.ar","contaduria@cooplaprotectora.com.ar","Verdadero","0SCJ5"
"222","30527703685","GENERAL RAMIREZ","Cooperativa Agrícola Unión Regional Ltda.","222 - Cooperativa Agrícola Unión Regional Ltda.","COOP. AGRIC. ""UNION REGIONAL"" LTDA","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","oficina.caur@gmail.com","contable.caur@gmail.com; izapata@caur.coop.ar","Verdadero","6YOL2"
"235","33533328119","GENERAL RAMIREZ ","Cooperativa La Ganadera General Ramírez Agrop., de Consumo y Prov. de Serv. Públ. Ltda.","235 - Cooperativa La Ganadera General Ramírez Agrop., de Consumo y Prov. de Serv. Públ. Ltda.","COOP. LA GAN GRAL RAMIREZ AG CYP","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","forsich@laganadera.com.ar","ccordoba@laganadera.com.ar","Verdadero","CG6IL"
"506","30534395678","GOBERNADOR SOLA","Cooperativa Agrícola Ganadera León Sola Ltda.","506 - Cooperativa Agrícola Ganadera León Sola Ltda.","COOP. AGRIC. GAN. LEON SOLA LTDA.","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","mariano.cerini@coopleonsola.com.ar",,"Verdadero","QU92T"
"507","30532458834","LA PAZ","Cooperativa Agropecuaria de La Paz Ltda.","507 - Cooperativa Agropecuaria de La Paz Ltda.","COOP. AGROPECUARIA DE LA PAZ LTDA","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","1","1","fabian.cardozo@calp.coop","recepcion@calp.coop; camila.castrillon@calp.coop; ileana.fonseca@calp.coop;","Verdadero","IUVPD"
"242","30513381944","LUCAS GONZALEZ","Cooperativa Agropecuaria El Progreso Ltda.","242 - Cooperativa Agropecuaria El Progreso Ltda.","COOP. AGROPECUARIA EL PROGRESO LTDA","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","lscetti@caelprogreso.com.ar","gerencianogoya@caelprogreso.com.ar; contaduria3@caelprogreso.com.ar","Verdadero","SPEHF"
"262","30528844746","MONTECARLO","Cooperativa Agrícola Mixta de Montecarlo Ltda.","262 - Cooperativa Agrícola Mixta de Montecarlo Ltda.","COOP. AGRICOLA MIXTA DE M.CARLO L","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","1","1","gerencia@montecarlo.com.ar","carntzen@montecarlo.com.ar; rtietjen@montecarlo.com.ar","Verdadero","KOITK"
"147","30501838329","OBERA","Cooperativa Agrícola Ltda. de Oberá","147 - Cooperativa Agrícola Ltda. de Oberá","COOP. AGRIC. DE OBERA LTDA.","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","1","1","socios@calobera.com.ar",,"Verdadero","RFO8D"
"29","30533752035","SAN SALVADOR","Cooperativa Arrocera de San Salvador Ltda.","29 - Cooperativa Arrocera de San Salvador Ltda.","COOP. ARROCERA DE S. SALVADOR LTDA","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","rhgerffau@casser.com.ar","cassgerencia@hotmail.com; alfredobouvet@gmail.com","Verdadero","L4QCC"
"410","30554836166","SEGUI","Cooperativa de Servicios Públicos General José de San Martín Ltda","410 - Cooperativa de Servicios Públicos General José de San Martín Ltda","COOP. SERV. PUB. GRAL. JOSE S. MARTIN","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","2","2","cageist@coopgralsanmartin.com.ar","mfsauthier@coopgralsanmartin.com.ar; lmzapata@coopgralsanmartin.com.ar","Verdadero","UVYIO"
"508","33532281259","URDINARRAIN","Cooperativa Federal Agrícola Ganadera de Urdinarrain Ltda.","508 - Cooperativa Federal Agrícola Ganadera de Urdinarrain Ltda.","COOP. FED. AG. GAN. DE URDINARRAIN LT","2","Entre Ríos","2","Entre Ríos","FILIAL PARANÁ","0","1","1","cofagu@urdi.com.ar","marianodus@gmail.com; cerealventas@urdi.com.ar","Verdadero","VA66T"
"2","30528940931","ACEVEDO","Cooperativa Agrícola Ganadera Ltda. de Acevedo","2 - Cooperativa Agrícola Ganadera Ltda. de Acevedo","COOP. AGRIC. GANAD. LTDA. DE ACEVEDO","4","Norte de Buenos Aires","4","Norte de Buenos Aires","FIL. PERGAMINO","0","2","2","acecoop@acevedocoop.com.ar",,"Verdadero","76WVG"
"15","30526896110","ASCENSION","Cooperativa Agrícola Ganadera Ltda. de Ascensión","15 - Cooperativa Agrícola Ganadera Ltda. de Ascensión","COOP. AGRIC. GAN. LTDA. DE ASCENSION","4","Norte de Buenos Aires","4","Norte de Buenos Aires","FIL. PERGAMINO","0","2","2","dscarafia@coopascension.com.ar","hfreire@coopascension.com.ar","Verdadero","8F5UT"
"36","33525427639","CARABELAS","Cooperativa Agropecuaria de Carabelas Ltda.","36 - Cooperativa Agropecuaria de Carabelas Ltda.","COOP. AGROP. LTDA. DE CARABELAS","4","Norte de Buenos Aires","4","Norte de Buenos Aires","FIL. PERGAMINO","0","2","2","ssantorum@coopcarabelas.com.ar","rviglierchio@coopcarabelas.com.ar","Verdadero","Z5WCU"
"41","30530583534","CARMEN DE ARECO","Cooperativa Agropecuaria de Carmen de Areco Ltda.","41 - Cooperativa Agropecuaria de Carmen de Areco Ltda.","COOP. AGROP. DE CARMEN DE ARECO L.","4","Norte de Buenos Aires","4","Norte de Buenos Aires","FIL. PERGAMINO","0","2","2","copercaracopio@gmail.com",,"Verdadero","Z8HJD"
"59","30507878365","CHACABUCO","Cooperativa Defensa de Agricultores Ltda.","59 - Cooperativa Defensa de Agricultores Ltda.","COOP. DEFENSA DE AGRICULTORES LT","4","Norte de Buenos Aires","4","Norte de Buenos Aires","FIL. PERGAMINO","0","2","2","jimaccormack@coopdefensa.com.ar","recepcion@coopdefensa.com.ar; administracion@coopdefensa.com.ar","Verdadero","ORFHI"
